               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.087833,            0.020386,            0.035837,           0.0027698,             0.76359,             0.02791,           0.0073539,            0.058876,            0.014535,            0.031446,            0.070171,           0.0033143,           0.0033143
                   1,            0.054317,            0.018664,            0.029084,             0.12728,             0.19276,            0.065447,            0.031354,             0.05075,            0.012617,            0.023391,            0.039952,           0.0064282,           0.0064282
                   2,            0.050276,            0.016862,            0.020706,             0.18811,             0.23739,             0.15151,            0.076158,            0.047829,            0.011693,            0.017197,           0.0095127,           0.0093222,           0.0093222
                   3,            0.047195,            0.016785,            0.016401,             0.22867,             0.25429,             0.14473,            0.071999,            0.044941,            0.012571,            0.020003,             0.00901,             0.00901,             0.00901
                   4,            0.044603,            0.016646,            0.013537,              0.2831,              0.2256,             0.17434,            0.084775,            0.041752,            0.012201,             0.02133,             0.00901,             0.00901,             0.00901
                   5,            0.042698,            0.016117,            0.011661,             0.25577,             0.29663,             0.21584,             0.11303,            0.039242,            0.011508,            0.010845,             0.00868,             0.00868,             0.00868
                   6,            0.041044,            0.015983,            0.010718,             0.31623,               0.322,             0.29414,             0.15685,             0.03896,            0.011671,           0.0079849,             0.00835,             0.00835,             0.00835
                   7,            0.039915,            0.016027,           0.0093022,             0.31642,              0.3624,              0.2979,             0.17373,            0.035499,            0.011283,           0.0081941,             0.00802,             0.00802,             0.00802
                   8,             0.03863,            0.015485,           0.0077945,             0.29607,             0.37345,             0.29172,             0.17022,            0.036016,            0.011301,            0.008417,             0.00769,             0.00769,             0.00769
                   9,            0.038155,            0.015464,           0.0079049,             0.27953,             0.37344,             0.29288,             0.17439,            0.034943,            0.011217,           0.0077244,             0.00736,             0.00736,             0.00736
                  10,            0.036463,            0.015548,           0.0073189,             0.29317,             0.41993,             0.33425,             0.21106,            0.032814,             0.01111,           0.0071605,             0.00703,             0.00703,             0.00703
                  11,            0.035235,            0.015313,           0.0061638,             0.36683,             0.40093,             0.34209,             0.21371,            0.031721,            0.010963,           0.0063967,              0.0067,              0.0067,              0.0067
                  12,            0.035278,            0.015287,           0.0062058,             0.29746,             0.41563,             0.33438,             0.21159,            0.033623,            0.011056,           0.0065937,             0.00637,             0.00637,             0.00637
                  13,            0.033611,            0.015643,           0.0058542,             0.31678,             0.40906,             0.35747,             0.23651,            0.031561,            0.010867,           0.0054129,             0.00604,             0.00604,             0.00604
                  14,            0.033209,            0.015111,           0.0055317,             0.30533,             0.42939,             0.36389,             0.23538,            0.030961,            0.010882,           0.0049175,             0.00571,             0.00571,             0.00571
                  15,            0.032447,            0.015084,           0.0046815,             0.28657,             0.46267,             0.34746,             0.23237,            0.031006,            0.010908,            0.006215,             0.00538,             0.00538,             0.00538
                  16,            0.032313,            0.015117,           0.0049947,             0.31662,             0.46724,             0.36661,             0.24906,            0.029775,            0.010668,           0.0049274,             0.00505,             0.00505,             0.00505
                  17,            0.030714,            0.015393,           0.0039817,             0.31541,             0.47324,             0.36572,             0.24899,            0.029363,            0.010752,           0.0045761,             0.00472,             0.00472,             0.00472
                  18,            0.030708,            0.015116,           0.0045143,             0.30367,             0.46786,             0.36926,             0.25491,             0.02912,            0.010698,           0.0046943,             0.00439,             0.00439,             0.00439
                  19,            0.030049,            0.014567,           0.0038444,             0.32588,             0.47148,             0.37854,             0.25693,            0.028414,            0.010732,           0.0043657,             0.00406,             0.00406,             0.00406
                  20,             0.02945,            0.014883,           0.0032621,             0.31897,             0.48073,             0.38869,             0.28142,            0.027922,            0.010612,           0.0034537,             0.00373,             0.00373,             0.00373
                  21,            0.028712,            0.014585,           0.0029444,             0.33741,             0.44259,             0.38284,             0.26833,            0.028681,            0.010696,           0.0044396,              0.0034,              0.0034,              0.0034
                  22,             0.02822,            0.014853,           0.0029467,             0.34319,             0.45971,             0.38876,             0.27173,            0.027591,            0.010663,           0.0041258,             0.00307,             0.00307,             0.00307
                  23,            0.026906,            0.014598,           0.0023691,              0.3241,             0.47113,             0.39461,              0.2819,            0.027449,            0.010658,           0.0039344,             0.00274,             0.00274,             0.00274
                  24,            0.027178,            0.014518,           0.0026873,             0.33561,             0.47773,             0.39902,             0.28334,            0.027077,            0.010565,           0.0030363,             0.00241,             0.00241,             0.00241
                  25,            0.026572,            0.014432,            0.002128,             0.33207,             0.47642,             0.39574,             0.28742,            0.026964,            0.010583,           0.0032097,             0.00208,             0.00208,             0.00208
                  26,            0.025475,            0.014672,            0.002126,             0.34173,             0.50706,             0.39597,             0.28902,            0.026425,            0.010633,           0.0034526,             0.00175,             0.00175,             0.00175
                  27,            0.025458,            0.014411,           0.0020403,             0.33269,             0.47738,             0.40137,             0.29778,            0.026148,            0.010621,           0.0034211,             0.00142,             0.00142,             0.00142
                  28,            0.024909,              0.0143,            0.001978,             0.33813,             0.49018,             0.40701,              0.3033,            0.025835,            0.010598,           0.0032513,             0.00109,             0.00109,             0.00109
                  29,            0.024761,            0.014612,            0.001854,             0.34489,             0.48294,             0.40537,             0.30944,             0.02552,            0.010609,           0.0030319,             0.00076,             0.00076,             0.00076
